State,state_FIPS,county_FIPS,County,classfp
AL,1,1,Autauga County,H1
AL,1,3,Baldwin County,H1
AL,1,5,Barbour County,H1
AL,1,7,Bibb County,H1
AL,1,9,Blount County,H1
AL,1,11,Bullock County,H1
AL,1,13,Butler County,H1
AL,1,15,Calhoun County,H1
AL,1,17,Chambers County,H1
AL,1,19,Cherokee County,H1
AL,1,21,Chilton County,H1
AL,1,23,Choctaw County,H1
AL,1,25,Clarke County,H1
AL,1,27,Clay County,H1
AL,1,29,Cleburne County,H1
AL,1,31,Coffee County,H1
AL,1,33,Colbert County,H1
AL,1,35,Conecuh County,H1
AL,1,37,Coosa County,H1
AL,1,39,Covington County,H1
AL,1,41,Crenshaw County,H1
AL,1,43,Cullman County,H1
AL,1,45,Dale County,H1
AL,1,47,Dallas County,H1
AL,1,49,DeKalb County,H1
AL,1,51,Elmore County,H1
AL,1,53,Escambia County,H1
AL,1,55,Etowah County,H1
AL,1,57,Fayette County,H1
AL,1,59,Franklin County,H1
AL,1,61,Geneva County,H1
AL,1,63,Greene County,H1
AL,1,65,Hale County,H1
AL,1,67,Henry County,H1
AL,1,69,Houston County,H1
AL,1,71,Jackson County,H1
AL,1,73,Jefferson County,H1
AL,1,75,Lamar County,H1
AL,1,77,Lauderdale County,H1
AL,1,79,Lawrence County,H1
AL,1,81,Lee County,H1
AL,1,83,Limestone County,H1
AL,1,85,Lowndes County,H1
AL,1,87,Macon County,H1
AL,1,89,Madison County,H1
AL,1,91,Marengo County,H1
AL,1,93,Marion County,H1
AL,1,95,Marshall County,H1
AL,1,97,Mobile County,H1
AL,1,99,Monroe County,H1
AL,1,101,Montgomery County,H1
AL,1,103,Morgan County,H1
AL,1,105,Perry County,H1
AL,1,107,Pickens County,H1
AL,1,109,Pike County,H1
AL,1,111,Randolph County,H1
AL,1,113,Russell County,H1
AL,1,115,St. Clair County,H1
AL,1,117,Shelby County,H1
AL,1,119,Sumter County,H1
AL,1,121,Talladega County,H1
AL,1,123,Tallapoosa County,H1
AL,1,125,Tuscaloosa County,H1
AL,1,127,Walker County,H1
AL,1,129,Washington County,H1
AL,1,131,Wilcox County,H1
AL,1,133,Winston County,H1
