State,state_FIPS,county_FIPS,County,classfp
ID,16,1,Ada County,H1
ID,16,3,Adams County,H1
ID,16,5,Bannock County,H1
ID,16,7,Bear Lake County,H1
ID,16,9,Benewah County,H1
ID,16,11,Bingham County,H1
ID,16,13,Blaine County,H1
ID,16,15,Boise County,H1
ID,16,17,Bonner County,H1
ID,16,19,Bonneville County,H1
ID,16,21,Boundary County,H1
ID,16,23,Butte County,H1
ID,16,25,Camas County,H1
ID,16,27,Canyon County,H1
ID,16,29,Caribou County,H1
ID,16,31,Cassia County,H1
ID,16,33,Clark County,H1
ID,16,35,Clearwater County,H1
ID,16,37,Custer County,H1
ID,16,39,Elmore County,H1
ID,16,41,Franklin County,H1
ID,16,43,Fremont County,H1
ID,16,45,Gem County,H1
ID,16,47,Gooding County,H1
ID,16,49,Idaho County,H1
ID,16,51,Jefferson County,H1
ID,16,53,Jerome County,H1
ID,16,55,Kootenai County,H1
ID,16,57,Latah County,H1
ID,16,59,Lemhi County,H1
ID,16,61,Lewis County,H1
ID,16,63,Lincoln County,H1
ID,16,65,Madison County,H1
ID,16,67,Minidoka County,H1
ID,16,69,Nez Perce County,H1
ID,16,71,Oneida County,H1
ID,16,73,Owyhee County,H1
ID,16,75,Payette County,H1
ID,16,77,Power County,H1
ID,16,79,Shoshone County,H1
ID,16,81,Teton County,H1
ID,16,83,Twin Falls County,H1
ID,16,85,Valley County,H1
ID,16,87,Washington County,H1
