State,state_FIPS,county_FIPS,County,classfp
IL,17,1,Adams County,H1
IL,17,3,Alexander County,H1
IL,17,5,Bond County,H1
IL,17,7,Boone County,H1
IL,17,9,Brown County,H1
IL,17,11,Bureau County,H1
IL,17,13,Calhoun County,H1
IL,17,15,Carroll County,H1
IL,17,17,Cass County,H1
IL,17,19,Champaign County,H1
IL,17,21,Christian County,H1
IL,17,23,Clark County,H1
IL,17,25,Clay County,H1
IL,17,27,Clinton County,H1
IL,17,29,Coles County,H1
IL,17,31,Cook County,H1
IL,17,33,Crawford County,H1
IL,17,35,Cumberland County,H1
IL,17,37,DeKalb County,H1
IL,17,39,De Witt County,H1
IL,17,41,Douglas County,H1
IL,17,43,DuPage County,H1
IL,17,45,Edgar County,H1
IL,17,47,Edwards County,H1
IL,17,49,Effingham County,H1
IL,17,51,Fayette County,H1
IL,17,53,Ford County,H1
IL,17,55,Franklin County,H1
IL,17,57,Fulton County,H1
IL,17,59,Gallatin County,H1
IL,17,61,Greene County,H1
IL,17,63,Grundy County,H1
IL,17,65,Hamilton County,H1
IL,17,67,Hancock County,H1
IL,17,69,Hardin County,H1
IL,17,71,Henderson County,H1
IL,17,73,Henry County,H1
IL,17,75,Iroquois County,H1
IL,17,77,Jackson County,H1
IL,17,79,Jasper County,H1
IL,17,81,Jefferson County,H1
IL,17,83,Jersey County,H1
IL,17,85,Jo Daviess County,H1
IL,17,87,Johnson County,H1
IL,17,89,Kane County,H1
IL,17,91,Kankakee County,H1
IL,17,93,Kendall County,H1
IL,17,95,Knox County,H1
IL,17,97,Lake County,H1
IL,17,99,LaSalle County,H1
IL,17,101,Lawrence County,H1
IL,17,103,Lee County,H1
IL,17,105,Livingston County,H1
IL,17,107,Logan County,H1
IL,17,109,McDonough County,H1
IL,17,111,McHenry County,H1
IL,17,113,McLean County,H1
IL,17,115,Macon County,H1
IL,17,117,Macoupin County,H1
IL,17,119,Madison County,H1
IL,17,121,Marion County,H1
IL,17,123,Marshall County,H1
IL,17,125,Mason County,H1
IL,17,127,Massac County,H1
IL,17,129,Menard County,H1
IL,17,131,Mercer County,H1
IL,17,133,Monroe County,H1
IL,17,135,Montgomery County,H1
IL,17,137,Morgan County,H1
IL,17,139,Moultrie County,H1
IL,17,141,Ogle County,H1
IL,17,143,Peoria County,H1
IL,17,145,Perry County,H1
IL,17,147,Piatt County,H1
IL,17,149,Pike County,H1
IL,17,151,Pope County,H1
IL,17,153,Pulaski County,H1
IL,17,155,Putnam County,H1
IL,17,157,Randolph County,H1
IL,17,159,Richland County,H1
IL,17,161,Rock Island County,H1
IL,17,163,St. Clair County,H1
IL,17,165,Saline County,H1
IL,17,167,Sangamon County,H1
IL,17,169,Schuyler County,H1
IL,17,171,Scott County,H1
IL,17,173,Shelby County,H1
IL,17,175,Stark County,H1
IL,17,177,Stephenson County,H1
IL,17,179,Tazewell County,H1
IL,17,181,Union County,H1
IL,17,183,Vermilion County,H1
IL,17,185,Wabash County,H1
IL,17,187,Warren County,H1
IL,17,189,Washington County,H1
IL,17,191,Wayne County,H1
IL,17,193,White County,H1
IL,17,195,Whiteside County,H1
IL,17,197,Will County,H1
IL,17,199,Williamson County,H1
IL,17,201,Winnebago County,H1
IL,17,203,Woodford County,H1
