State,state_FIPS,county_FIPS,County,classfp
IN,18,1,Adams County,H1
IN,18,3,Allen County,H1
IN,18,5,Bartholomew County,H1
IN,18,7,Benton County,H1
IN,18,9,Blackford County,H1
IN,18,11,Boone County,H1
IN,18,13,Brown County,H1
IN,18,15,Carroll County,H1
IN,18,17,Cass County,H1
IN,18,19,Clark County,H1
IN,18,21,Clay County,H1
IN,18,23,Clinton County,H1
IN,18,25,Crawford County,H1
IN,18,27,Daviess County,H1
IN,18,29,Dearborn County,H1
IN,18,31,Decatur County,H1
IN,18,33,DeKalb County,H1
IN,18,35,Delaware County,H1
IN,18,37,Dubois County,H1
IN,18,39,Elkhart County,H1
IN,18,41,Fayette County,H1
IN,18,43,Floyd County,H1
IN,18,45,Fountain County,H1
IN,18,47,Franklin County,H1
IN,18,49,Fulton County,H1
IN,18,51,Gibson County,H1
IN,18,53,Grant County,H1
IN,18,55,Greene County,H1
IN,18,57,Hamilton County,H1
IN,18,59,Hancock County,H1
IN,18,61,Harrison County,H1
IN,18,63,Hendricks County,H1
IN,18,65,Henry County,H1
IN,18,67,Howard County,H1
IN,18,69,Huntington County,H1
IN,18,71,Jackson County,H1
IN,18,73,Jasper County,H1
IN,18,75,Jay County,H1
IN,18,77,Jefferson County,H1
IN,18,79,Jennings County,H1
IN,18,81,Johnson County,H1
IN,18,83,Knox County,H1
IN,18,85,Kosciusko County,H1
IN,18,87,LaGrange County,H1
IN,18,89,Lake County,H1
IN,18,91,LaPorte County,H1
IN,18,93,Lawrence County,H1
IN,18,95,Madison County,H1
IN,18,97,Marion County,H6
IN,18,99,Marshall County,H1
IN,18,101,Martin County,H1
IN,18,103,Miami County,H1
IN,18,105,Monroe County,H1
IN,18,107,Montgomery County,H1
IN,18,109,Morgan County,H1
IN,18,111,Newton County,H1
IN,18,113,Noble County,H1
IN,18,115,Ohio County,H1
IN,18,117,Orange County,H1
IN,18,119,Owen County,H1
IN,18,121,Parke County,H1
IN,18,123,Perry County,H1
IN,18,125,Pike County,H1
IN,18,127,Porter County,H1
IN,18,129,Posey County,H1
IN,18,131,Pulaski County,H1
IN,18,133,Putnam County,H1
IN,18,135,Randolph County,H1
IN,18,137,Ripley County,H1
IN,18,139,Rush County,H1
IN,18,141,St. Joseph County,H1
IN,18,143,Scott County,H1
IN,18,145,Shelby County,H1
IN,18,147,Spencer County,H1
IN,18,149,Starke County,H1
IN,18,151,Steuben County,H1
IN,18,153,Sullivan County,H1
IN,18,155,Switzerland County,H1
IN,18,157,Tippecanoe County,H1
IN,18,159,Tipton County,H1
IN,18,161,Union County,H1
IN,18,163,Vanderburgh County,H1
IN,18,165,Vermillion County,H1
IN,18,167,Vigo County,H1
IN,18,169,Wabash County,H1
IN,18,171,Warren County,H1
IN,18,173,Warrick County,H1
IN,18,175,Washington County,H1
IN,18,177,Wayne County,H1
IN,18,179,Wells County,H1
IN,18,181,White County,H1
IN,18,183,Whitley County,H1
