State,state_FIPS,county_FIPS,County,classfp
IA,19,1,Adair County,H1
IA,19,3,Adams County,H1
IA,19,5,Allamakee County,H1
IA,19,7,Appanoose County,H1
IA,19,9,Audubon County,H1
IA,19,11,Benton County,H1
IA,19,13,Black Hawk County,H1
IA,19,15,Boone County,H1
IA,19,17,Bremer County,H1
IA,19,19,Buchanan County,H1
IA,19,21,Buena Vista County,H1
IA,19,23,Butler County,H1
IA,19,25,Calhoun County,H1
IA,19,27,Carroll County,H1
IA,19,29,Cass County,H1
IA,19,31,Cedar County,H1
IA,19,33,Cerro Gordo County,H1
IA,19,35,Cherokee County,H1
IA,19,37,Chickasaw County,H1
IA,19,39,Clarke County,H1
IA,19,41,Clay County,H1
IA,19,43,Clayton County,H1
IA,19,45,Clinton County,H1
IA,19,47,Crawford County,H1
IA,19,49,Dallas County,H1
IA,19,51,Davis County,H1
IA,19,53,Decatur County,H1
IA,19,55,Delaware County,H1
IA,19,57,Des Moines County,H1
IA,19,59,Dickinson County,H1
IA,19,61,Dubuque County,H1
IA,19,63,Emmet County,H1
IA,19,65,Fayette County,H1
IA,19,67,Floyd County,H1
IA,19,69,Franklin County,H1
IA,19,71,Fremont County,H1
IA,19,73,Greene County,H1
IA,19,75,Grundy County,H1
IA,19,77,Guthrie County,H1
IA,19,79,Hamilton County,H1
IA,19,81,Hancock County,H1
IA,19,83,Hardin County,H1
IA,19,85,Harrison County,H1
IA,19,87,Henry County,H1
IA,19,89,Howard County,H1
IA,19,91,Humboldt County,H1
IA,19,93,Ida County,H1
IA,19,95,Iowa County,H1
IA,19,97,Jackson County,H1
IA,19,99,Jasper County,H1
IA,19,101,Jefferson County,H1
IA,19,103,Johnson County,H1
IA,19,105,Jones County,H1
IA,19,107,Keokuk County,H1
IA,19,109,Kossuth County,H1
IA,19,111,Lee County,H1
IA,19,113,Linn County,H1
IA,19,115,Louisa County,H1
IA,19,117,Lucas County,H1
IA,19,119,Lyon County,H1
IA,19,121,Madison County,H1
IA,19,123,Mahaska County,H1
IA,19,125,Marion County,H1
IA,19,127,Marshall County,H1
IA,19,129,Mills County,H1
IA,19,131,Mitchell County,H1
IA,19,133,Monona County,H1
IA,19,135,Monroe County,H1
IA,19,137,Montgomery County,H1
IA,19,139,Muscatine County,H1
IA,19,141,O'Brien County,H1
IA,19,143,Osceola County,H1
IA,19,145,Page County,H1
IA,19,147,Palo Alto County,H1
IA,19,149,Plymouth County,H1
IA,19,151,Pocahontas County,H1
IA,19,153,Polk County,H1
IA,19,155,Pottawattamie County,H1
IA,19,157,Poweshiek County,H1
IA,19,159,Ringgold County,H1
IA,19,161,Sac County,H1
IA,19,163,Scott County,H1
IA,19,165,Shelby County,H1
IA,19,167,Sioux County,H1
IA,19,169,Story County,H1
IA,19,171,Tama County,H1
IA,19,173,Taylor County,H1
IA,19,175,Union County,H1
IA,19,177,Van Buren County,H1
IA,19,179,Wapello County,H1
IA,19,181,Warren County,H1
IA,19,183,Washington County,H1
IA,19,185,Wayne County,H1
IA,19,187,Webster County,H1
IA,19,189,Winnebago County,H1
IA,19,191,Winneshiek County,H1
IA,19,193,Woodbury County,H1
IA,19,195,Worth County,H1
IA,19,197,Wright County,H1
