State,state_FIPS,county_FIPS,County,classfp
KS,20,1,Allen County,H1
KS,20,3,Anderson County,H1
KS,20,5,Atchison County,H1
KS,20,7,Barber County,H1
KS,20,9,Barton County,H1
KS,20,11,Bourbon County,H1
KS,20,13,Brown County,H1
KS,20,15,Butler County,H1
KS,20,17,Chase County,H1
KS,20,19,Chautauqua County,H1
KS,20,21,Cherokee County,H1
KS,20,23,Cheyenne County,H1
KS,20,25,Clark County,H1
KS,20,27,Clay County,H1
KS,20,29,Cloud County,H1
KS,20,31,Coffey County,H1
KS,20,33,Comanche County,H1
KS,20,35,Cowley County,H1
KS,20,37,Crawford County,H1
KS,20,39,Decatur County,H1
KS,20,41,Dickinson County,H1
KS,20,43,Doniphan County,H1
KS,20,45,Douglas County,H1
KS,20,47,Edwards County,H1
KS,20,49,Elk County,H1
KS,20,51,Ellis County,H1
KS,20,53,Ellsworth County,H1
KS,20,55,Finney County,H1
KS,20,57,Ford County,H1
KS,20,59,Franklin County,H1
KS,20,61,Geary County,H1
KS,20,63,Gove County,H1
KS,20,65,Graham County,H1
KS,20,67,Grant County,H1
KS,20,69,Gray County,H1
KS,20,71,Greeley County,H1
KS,20,73,Greenwood County,H1
KS,20,75,Hamilton County,H1
KS,20,77,Harper County,H1
KS,20,79,Harvey County,H1
KS,20,81,Haskell County,H1
KS,20,83,Hodgeman County,H1
KS,20,85,Jackson County,H1
KS,20,87,Jefferson County,H1
KS,20,89,Jewell County,H1
KS,20,91,Johnson County,H1
KS,20,93,Kearny County,H1
KS,20,95,Kingman County,H1
KS,20,97,Kiowa County,H1
KS,20,99,Labette County,H1
KS,20,101,Lane County,H1
KS,20,103,Leavenworth County,H1
KS,20,105,Lincoln County,H1
KS,20,107,Linn County,H1
KS,20,109,Logan County,H1
KS,20,111,Lyon County,H1
KS,20,113,McPherson County,H1
KS,20,115,Marion County,H1
KS,20,117,Marshall County,H1
KS,20,119,Meade County,H1
KS,20,121,Miami County,H1
KS,20,123,Mitchell County,H1
KS,20,125,Montgomery County,H1
KS,20,127,Morris County,H1
KS,20,129,Morton County,H1
KS,20,131,Nemaha County,H1
KS,20,133,Neosho County,H1
KS,20,135,Ness County,H1
KS,20,137,Norton County,H1
KS,20,139,Osage County,H1
KS,20,141,Osborne County,H1
KS,20,143,Ottawa County,H1
KS,20,145,Pawnee County,H1
KS,20,147,Phillips County,H1
KS,20,149,Pottawatomie County,H1
KS,20,151,Pratt County,H1
KS,20,153,Rawlins County,H1
KS,20,155,Reno County,H1
KS,20,157,Republic County,H1
KS,20,159,Rice County,H1
KS,20,161,Riley County,H1
KS,20,163,Rooks County,H1
KS,20,165,Rush County,H1
KS,20,167,Russell County,H1
KS,20,169,Saline County,H1
KS,20,171,Scott County,H1
KS,20,173,Sedgwick County,H1
KS,20,175,Seward County,H1
KS,20,177,Shawnee County,H1
KS,20,179,Sheridan County,H1
KS,20,181,Sherman County,H1
KS,20,183,Smith County,H1
KS,20,185,Stafford County,H1
KS,20,187,Stanton County,H1
KS,20,189,Stevens County,H1
KS,20,191,Sumner County,H1
KS,20,193,Thomas County,H1
KS,20,195,Trego County,H1
KS,20,197,Wabaunsee County,H1
KS,20,199,Wallace County,H1
KS,20,201,Washington County,H1
KS,20,203,Wichita County,H1
KS,20,205,Wilson County,H1
KS,20,207,Woodson County,H1
KS,20,209,Wyandotte County,H6
