State,state_FIPS,county_FIPS,County,classfp
KY,21,1,Adair County,H1
KY,21,3,Allen County,H1
KY,21,5,Anderson County,H1
KY,21,7,Ballard County,H1
KY,21,9,Barren County,H1
KY,21,11,Bath County,H1
KY,21,13,Bell County,H1
KY,21,15,Boone County,H1
KY,21,17,Bourbon County,H1
KY,21,19,Boyd County,H1
KY,21,21,Boyle County,H1
KY,21,23,Bracken County,H1
KY,21,25,Breathitt County,H1
KY,21,27,Breckinridge County,H1
KY,21,29,Bullitt County,H1
KY,21,31,Butler County,H1
KY,21,33,Caldwell County,H1
KY,21,35,Calloway County,H1
KY,21,37,Campbell County,H1
KY,21,39,Carlisle County,H1
KY,21,41,Carroll County,H1
KY,21,43,Carter County,H1
KY,21,45,Casey County,H1
KY,21,47,Christian County,H1
KY,21,49,Clark County,H1
KY,21,51,Clay County,H1
KY,21,53,Clinton County,H1
KY,21,55,Crittenden County,H1
KY,21,57,Cumberland County,H1
KY,21,59,Daviess County,H1
KY,21,61,Edmonson County,H1
KY,21,63,Elliott County,H1
KY,21,65,Estill County,H1
KY,21,67,Fayette County,H6
KY,21,69,Fleming County,H1
KY,21,71,Floyd County,H1
KY,21,73,Franklin County,H1
KY,21,75,Fulton County,H1
KY,21,77,Gallatin County,H1
KY,21,79,Garrard County,H1
KY,21,81,Grant County,H1
KY,21,83,Graves County,H1
KY,21,85,Grayson County,H1
KY,21,87,Green County,H1
KY,21,89,Greenup County,H1
KY,21,91,Hancock County,H1
KY,21,93,Hardin County,H1
KY,21,95,Harlan County,H1
KY,21,97,Harrison County,H1
KY,21,99,Hart County,H1
KY,21,101,Henderson County,H1
KY,21,103,Henry County,H1
KY,21,105,Hickman County,H1
KY,21,107,Hopkins County,H1
KY,21,109,Jackson County,H1
KY,21,111,Jefferson County,H1
KY,21,113,Jessamine County,H1
KY,21,115,Johnson County,H1
KY,21,117,Kenton County,H1
KY,21,119,Knott County,H1
KY,21,121,Knox County,H1
KY,21,123,Larue County,H1
KY,21,125,Laurel County,H1
KY,21,127,Lawrence County,H1
KY,21,129,Lee County,H1
KY,21,131,Leslie County,H1
KY,21,133,Letcher County,H1
KY,21,135,Lewis County,H1
KY,21,137,Lincoln County,H1
KY,21,139,Livingston County,H1
KY,21,141,Logan County,H1
KY,21,143,Lyon County,H1
KY,21,145,McCracken County,H1
KY,21,147,McCreary County,H1
KY,21,149,McLean County,H1
KY,21,151,Madison County,H1
KY,21,153,Magoffin County,H1
KY,21,155,Marion County,H1
KY,21,157,Marshall County,H1
KY,21,159,Martin County,H1
KY,21,161,Mason County,H1
KY,21,163,Meade County,H1
KY,21,165,Menifee County,H1
KY,21,167,Mercer County,H1
KY,21,169,Metcalfe County,H1
KY,21,171,Monroe County,H1
KY,21,173,Montgomery County,H1
KY,21,175,Morgan County,H1
KY,21,177,Muhlenberg County,H1
KY,21,179,Nelson County,H1
KY,21,181,Nicholas County,H1
KY,21,183,Ohio County,H1
KY,21,185,Oldham County,H1
KY,21,187,Owen County,H1
KY,21,189,Owsley County,H1
KY,21,191,Pendleton County,H1
KY,21,193,Perry County,H1
KY,21,195,Pike County,H1
KY,21,197,Powell County,H1
KY,21,199,Pulaski County,H1
KY,21,201,Robertson County,H1
KY,21,203,Rockcastle County,H1
KY,21,205,Rowan County,H1
KY,21,207,Russell County,H1
KY,21,209,Scott County,H1
KY,21,211,Shelby County,H1
KY,21,213,Simpson County,H1
KY,21,215,Spencer County,H1
KY,21,217,Taylor County,H1
KY,21,219,Todd County,H1
KY,21,221,Trigg County,H1
KY,21,223,Trimble County,H1
KY,21,225,Union County,H1
KY,21,227,Warren County,H1
KY,21,229,Washington County,H1
KY,21,231,Wayne County,H1
KY,21,233,Webster County,H1
KY,21,235,Whitley County,H1
KY,21,237,Wolfe County,H1
KY,21,239,Woodford County,H1
