State,state_FIPS,county_FIPS,County,classfp
LA,22,1,Acadia Parish,H1
LA,22,3,Allen Parish,H1
LA,22,5,Ascension Parish,H1
LA,22,7,Assumption Parish,H1
LA,22,9,Avoyelles Parish,H1
LA,22,11,Beauregard Parish,H1
LA,22,13,Bienville Parish,H1
LA,22,15,Bossier Parish,H1
LA,22,17,Caddo Parish,H1
LA,22,19,Calcasieu Parish,H1
LA,22,21,Caldwell Parish,H1
LA,22,23,Cameron Parish,H1
LA,22,25,Catahoula Parish,H1
LA,22,27,Claiborne Parish,H1
LA,22,29,Concordia Parish,H1
LA,22,31,De Soto Parish,H1
LA,22,33,East Baton Rouge Parish,H1
LA,22,35,East Carroll Parish,H1
LA,22,37,East Feliciana Parish,H1
LA,22,39,Evangeline Parish,H1
LA,22,41,Franklin Parish,H1
LA,22,43,Grant Parish,H1
LA,22,45,Iberia Parish,H1
LA,22,47,Iberville Parish,H1
LA,22,49,Jackson Parish,H1
LA,22,51,Jefferson Parish,H1
LA,22,53,Jefferson Davis Parish,H1
LA,22,55,Lafayette Parish,H1
LA,22,57,Lafourche Parish,H1
LA,22,59,La Salle Parish,H1
LA,22,61,Lincoln Parish,H1
LA,22,63,Livingston Parish,H1
LA,22,65,Madison Parish,H1
LA,22,67,Morehouse Parish,H1
LA,22,69,Natchitoches Parish,H1
LA,22,71,Orleans Parish,H6
LA,22,73,Ouachita Parish,H1
LA,22,75,Plaquemines Parish,H1
LA,22,77,Pointe Coupee Parish,H1
LA,22,79,Rapides Parish,H1
LA,22,81,Red River Parish,H1
LA,22,83,Richland Parish,H1
LA,22,85,Sabine Parish,H1
LA,22,87,St. Bernard Parish,H1
LA,22,89,St. Charles Parish,H1
LA,22,91,St. Helena Parish,H1
LA,22,93,St. James Parish,H1
LA,22,95,St. John the Baptist Parish,H1
LA,22,97,St. Landry Parish,H1
LA,22,99,St. Martin Parish,H1
LA,22,101,St. Mary Parish,H1
LA,22,103,St. Tammany Parish,H1
LA,22,105,Tangipahoa Parish,H1
LA,22,107,Tensas Parish,H1
LA,22,109,Terrebonne Parish,H1
LA,22,111,Union Parish,H1
LA,22,113,Vermilion Parish,H1
LA,22,115,Vernon Parish,H1
LA,22,117,Washington Parish,H1
LA,22,119,Webster Parish,H1
LA,22,121,West Baton Rouge Parish,H1
LA,22,123,West Carroll Parish,H1
LA,22,125,West Feliciana Parish,H1
LA,22,127,Winn Parish,H1
