State,state_FIPS,county_FIPS,County,classfp
MS,28,1,Adams County,H1
MS,28,3,Alcorn County,H1
MS,28,5,Amite County,H1
MS,28,7,Attala County,H1
MS,28,9,Benton County,H1
MS,28,11,Bolivar County,H1
MS,28,13,Calhoun County,H1
MS,28,15,Carroll County,H1
MS,28,17,Chickasaw County,H1
MS,28,19,Choctaw County,H1
MS,28,21,Claiborne County,H1
MS,28,23,Clarke County,H1
MS,28,25,Clay County,H1
MS,28,27,Coahoma County,H1
MS,28,29,Copiah County,H1
MS,28,31,Covington County,H1
MS,28,33,DeSoto County,H1
MS,28,35,Forrest County,H1
MS,28,37,Franklin County,H1
MS,28,39,George County,H1
MS,28,41,Greene County,H1
MS,28,43,Grenada County,H1
MS,28,45,Hancock County,H1
MS,28,47,Harrison County,H1
MS,28,49,Hinds County,H1
MS,28,51,Holmes County,H1
MS,28,53,Humphreys County,H1
MS,28,55,Issaquena County,H1
MS,28,57,Itawamba County,H1
MS,28,59,Jackson County,H1
MS,28,61,Jasper County,H1
MS,28,63,Jefferson County,H1
MS,28,65,Jefferson Davis County,H1
MS,28,67,Jones County,H1
MS,28,69,Kemper County,H1
MS,28,71,Lafayette County,H1 
MS,28,73,Lamar County,H1
MS,28,75,Lauderdale County,H1
MS,28,77,Lawrence County,H1
MS,28,79,Leake County,H1
MS,28,81,Lee County,H1
MS,28,83,Leflore County,H1
MS,28,85,Lincoln County,H1
MS,28,87,Lowndes County,H1
MS,28,89,Madison County,H1
MS,28,91,Marion County,H1
MS,28,93,Marshall County,H1
MS,28,95,Monroe County,H1
MS,28,97,Montgomery County,H1
MS,28,99,Neshoba County,H1
MS,28,101,Newton County,H1
MS,28,103,Noxubee County,H1
MS,28,105,Oktibbeha County,H1
MS,28,107,Panola County,H1
MS,28,109,Pearl River County,H1
MS,28,111,Perry County,H1
MS,28,113,Pike County,H1
MS,28,115,Pontotoc County,H1
MS,28,117,Prentiss County,H1
MS,28,119,Quitman County,H1
MS,28,121,Rankin County,H1
MS,28,123,Scott County,H1
MS,28,125,Sharkey County,H1
MS,28,127,Simpson County,H1
MS,28,129,Smith County,H1
MS,28,131,Stone County,H1
MS,28,133,Sunflower County,H1
MS,28,135,Tallahatchie County,H1
MS,28,137,Tate County,H1
MS,28,139,Tippah County,H1
MS,28,141,Tishomingo County,H1
MS,28,143,Tunica County,H1
MS,28,145,Union County,H1
MS,28,147,Walthall County,H1
MS,28,149,Warren County,H1
MS,28,151,Washington County,H1
MS,28,153,Wayne County,H1
MS,28,155,Webster County,H1
MS,28,157,Wilkinson County,H1
MS,28,159,Winston County,H1
MS,28,161,Yalobusha County,H1
MS,28,163,Yazoo County,H1
