State,state_FIPS,county_FIPS,County,classfp
MT,30,1,Beaverhead County,H1
MT,30,3,Big Horn County,H1
MT,30,5,Blaine County,H1
MT,30,7,Broadwater County,H1
MT,30,9,Carbon County,H1
MT,30,11,Carter County,H1
MT,30,13,Cascade County,H1
MT,30,15,Chouteau County,H1
MT,30,17,Custer County,H1
MT,30,19,Daniels County,H1
MT,30,21,Dawson County,H1
MT,30,23,Deer Lodge County,H6
MT,30,25,Fallon County,H1
MT,30,27,Fergus County,H1
MT,30,29,Flathead County,H1
MT,30,31,Gallatin County,H1
MT,30,33,Garfield County,H1
MT,30,35,Glacier County,H1
MT,30,37,Golden Valley County,H1
MT,30,39,Granite County,H1
MT,30,41,Hill County,H1
MT,30,43,Jefferson County,H1
MT,30,45,Judith Basin County,H1
MT,30,47,Lake County,H1
MT,30,49,Lewis and Clark County,H1
MT,30,51,Liberty County,H1
MT,30,53,Lincoln County,H1
MT,30,55,McCone County,H1
MT,30,57,Madison County,H1
MT,30,59,Meagher County,H1
MT,30,61,Mineral County,H1
MT,30,63,Missoula County,H1
MT,30,65,Musselshell County,H1
MT,30,67,Park County,H1
MT,30,69,Petroleum County,H1
MT,30,71,Phillips County,H1
MT,30,73,Pondera County,H1
MT,30,75,Powder River County,H1
MT,30,77,Powell County,H1
MT,30,79,Prairie County,H1
MT,30,81,Ravalli County,H1
MT,30,83,Richland County,H1
MT,30,85,Roosevelt County,H1
MT,30,87,Rosebud County,H1
MT,30,89,Sanders County,H1
MT,30,91,Sheridan County,H1
MT,30,93,Silver Bow County,H6
MT,30,95,Stillwater County,H1
MT,30,97,Sweet Grass County,H1
MT,30,99,Teton County,H1
MT,30,101,Toole County,H1
MT,30,103,Treasure County,H1
MT,30,105,Valley County,H1
MT,30,107,Wheatland County,H1
MT,30,109,Wibaux County,H1
MT,30,111,Yellowstone County,H1
