State,state_FIPS,county_FIPS,County,classfp
NE,31,1,Adams County,H1
NE,31,3,Antelope County,H1
NE,31,5,Arthur County,H1
NE,31,7,Banner County,H1
NE,31,9,Blaine County,H1
NE,31,11,Boone County,H1
NE,31,13,Box Butte County,H1
NE,31,15,Boyd County,H1
NE,31,17,Brown County,H1
NE,31,19,Buffalo County,H1
NE,31,21,Burt County,H1
NE,31,23,Butler County,H1
NE,31,25,Cass County,H1
NE,31,27,Cedar County,H1
NE,31,29,Chase County,H1
NE,31,31,Cherry County,H1
NE,31,33,Cheyenne County,H1
NE,31,35,Clay County,H1
NE,31,37,Colfax County,H1
NE,31,39,Cuming County,H1
NE,31,41,Custer County,H1
NE,31,43,Dakota County,H1
NE,31,45,Dawes County,H1
NE,31,47,Dawson County,H1
NE,31,49,Deuel County,H1
NE,31,51,Dixon County,H1
NE,31,53,Dodge County,H1
NE,31,55,Douglas County,H1
NE,31,57,Dundy County,H1
NE,31,59,Fillmore County,H1
NE,31,61,Franklin County,H1
NE,31,63,Frontier County,H1
NE,31,65,Furnas County,H1
NE,31,67,Gage County,H1
NE,31,69,Garden County,H1
NE,31,71,Garfield County,H1
NE,31,73,Gosper County,H1
NE,31,75,Grant County,H1
NE,31,77,Greeley County,H1
NE,31,79,Hall County,H1
NE,31,81,Hamilton County,H1
NE,31,83,Harlan County,H1
NE,31,85,Hayes County,H1
NE,31,87,Hitchcock County,H1
NE,31,89,Holt County,H1
NE,31,91,Hooker County,H1
NE,31,93,Howard County,H1
NE,31,95,Jefferson County,H1
NE,31,97,Johnson County,H1
NE,31,99,Kearney County,H1
NE,31,101,Keith County,H1
NE,31,103,Keya Paha County,H1
NE,31,105,Kimball County,H1
NE,31,107,Knox County,H1
NE,31,109,Lancaster County,H1
NE,31,111,Lincoln County,H1
NE,31,113,Logan County,H1
NE,31,115,Loup County,H1
NE,31,117,McPherson County,H1
NE,31,119,Madison County,H1
NE,31,121,Merrick County,H1
NE,31,123,Morrill County,H1
NE,31,125,Nance County,H1
NE,31,127,Nemaha County,H1
NE,31,129,Nuckolls County,H1
NE,31,131,Otoe County,H1
NE,31,133,Pawnee County,H1
NE,31,135,Perkins County,H1
NE,31,137,Phelps County,H1
NE,31,139,Pierce County,H1
NE,31,141,Platte County,H1
NE,31,143,Polk County,H1
NE,31,145,Red Willow County,H1
NE,31,147,Richardson County,H1
NE,31,149,Rock County,H1
NE,31,151,Saline County,H1
NE,31,153,Sarpy County,H1
NE,31,155,Saunders County,H1
NE,31,157,Scotts Bluff County,H1
NE,31,159,Seward County,H1
NE,31,161,Sheridan County,H1
NE,31,163,Sherman County,H1
NE,31,165,Sioux County,H1
NE,31,167,Stanton County,H1
NE,31,169,Thayer County,H1
NE,31,171,Thomas County,H1
NE,31,173,Thurston County,H1
NE,31,175,Valley County,H1
NE,31,177,Washington County,H1
NE,31,179,Wayne County,H1
NE,31,181,Webster County,H1
NE,31,183,Wheeler County,H1
NE,31,185,York County,H1
