State,state_FIPS,county_FIPS,County,classfp
NJ,34,1,Atlantic County,H1
NJ,34,3,Bergen County,H1
NJ,34,5,Burlington County,H1
NJ,34,7,Camden County,H1
NJ,34,9,Cape May County,H1
NJ,34,11,Cumberland County,H1
NJ,34,13,Essex County,H1
NJ,34,15,Gloucester County,H1
NJ,34,17,Hudson County,H1
NJ,34,19,Hunterdon County,H1
NJ,34,21,Mercer County,H1
NJ,34,23,Middlesex County,H1
NJ,34,25,Monmouth County,H1
NJ,34,27,Morris County,H1
NJ,34,29,Ocean County,H1
NJ,34,31,Passaic County,H1
NJ,34,33,Salem County,H1
NJ,34,35,Somerset County,H1
NJ,34,37,Sussex County,H1
NJ,34,39,Union County,H1
NJ,34,41,Warren County,H1
