State,state_FIPS,county_FIPS,County,classfp
NM,35,1,Bernalillo County,H1
NM,35,3,Catron County,H1
NM,35,5,Chaves County,H1
NM,35,6,Cibola County,H1
NM,35,7,Colfax County,H1
NM,35,9,Curry County,H1
NM,35,11,De Baca County,H1
NM,35,13,Dona Ana County,H1
NM,35,15,Eddy County,H1
NM,35,17,Grant County,H1
NM,35,19,Guadalupe County,H1
NM,35,21,Harding County,H1
NM,35,23,Hidalgo County,H1
NM,35,25,Lea County,H1
NM,35,27,Lincoln County,H1
NM,35,28,Los Alamos County,H1
NM,35,29,Luna County,H1
NM,35,31,McKinley County,H1
NM,35,33,Mora County,H1
NM,35,35,Otero County,H1
NM,35,37,Quay County,H1
NM,35,39,Rio Arriba County,H1
NM,35,41,Roosevelt County,H1
NM,35,43,Sandoval County,H1
NM,35,45,San Juan County,H1
NM,35,47,San Miguel County,H1
NM,35,49,Santa Fe County,H1
NM,35,51,Sierra County,H1
NM,35,53,Socorro County,H1
NM,35,55,Taos County,H1
NM,35,57,Torrance County,H1
NM,35,59,Union County,H1
NM,35,61,Valencia County,H1
