State,state_FIPS,county_FIPS,County,classfp
ND,38,1,Adams County,H1
ND,38,3,Barnes County,H1
ND,38,5,Benson County,H1
ND,38,7,Billings County,H1
ND,38,9,Bottineau County,H1
ND,38,11,Bowman County,H1
ND,38,13,Burke County,H1
ND,38,15,Burleigh County,H1
ND,38,17,Cass County,H1
ND,38,19,Cavalier County,H1
ND,38,21,Dickey County,H1
ND,38,23,Divide County,H1
ND,38,25,Dunn County,H1
ND,38,27,Eddy County,H1
ND,38,29,Emmons County,H1
ND,38,31,Foster County,H1
ND,38,33,Golden Valley County,H1
ND,38,35,Grand Forks County,H1
ND,38,37,Grant County,H1
ND,38,39,Griggs County,H1
ND,38,41,Hettinger County,H1
ND,38,43,Kidder County,H1
ND,38,45,LaMoure County,H1
ND,38,47,Logan County,H1
ND,38,49,McHenry County,H1
ND,38,51,McIntosh County,H1
ND,38,53,McKenzie County,H1
ND,38,55,McLean County,H1
ND,38,57,Mercer County,H1
ND,38,59,Morton County,H1
ND,38,61,Mountrail County,H1
ND,38,63,Nelson County,H1
ND,38,65,Oliver County,H1
ND,38,67,Pembina County,H1
ND,38,69,Pierce County,H1
ND,38,71,Ramsey County,H1
ND,38,73,Ransom County,H1
ND,38,75,Renville County,H1
ND,38,77,Richland County,H1
ND,38,79,Rolette County,H1
ND,38,81,Sargent County,H1
ND,38,83,Sheridan County,H1
ND,38,85,Sioux County,H1
ND,38,87,Slope County,H1
ND,38,89,Stark County,H1
ND,38,91,Steele County,H1
ND,38,93,Stutsman County,H1
ND,38,95,Towner County,H1
ND,38,97,Traill County,H1
ND,38,99,Walsh County,H1
ND,38,101,Ward County,H1
ND,38,103,Wells County,H1
ND,38,105,Williams County,H1
