State,state_FIPS,county_FIPS,County,classfp
OK,40,1,Adair County,H1
OK,40,3,Alfalfa County,H1
OK,40,5,Atoka County,H1
OK,40,7,Beaver County,H1
OK,40,9,Beckham County,H1
OK,40,11,Blaine County,H1
OK,40,13,Bryan County,H1
OK,40,15,Caddo County,H1
OK,40,17,Canadian County,H1
OK,40,19,Carter County,H1
OK,40,21,Cherokee County,H1
OK,40,23,Choctaw County,H1
OK,40,25,Cimarron County,H1
OK,40,27,Cleveland County,H1
OK,40,29,Coal County,H1
OK,40,31,Comanche County,H1
OK,40,33,Cotton County,H1
OK,40,35,Craig County,H1
OK,40,37,Creek County,H1
OK,40,39,Custer County,H1
OK,40,41,Delaware County,H1
OK,40,43,Dewey County,H1
OK,40,45,Ellis County,H1
OK,40,47,Garfield County,H1
OK,40,49,Garvin County,H1
OK,40,51,Grady County,H1
OK,40,53,Grant County,H1
OK,40,55,Greer County,H1
OK,40,57,Harmon County,H1
OK,40,59,Harper County,H1
OK,40,61,Haskell County,H1
OK,40,63,Hughes County,H1
OK,40,65,Jackson County,H1
OK,40,67,Jefferson County,H1
OK,40,69,Johnston County,H1
OK,40,71,Kay County,H1
OK,40,73,Kingfisher County,H1
OK,40,75,Kiowa County,H1
OK,40,77,Latimer County,H1
OK,40,79,Le Flore County,H1
OK,40,81,Lincoln County,H1
OK,40,83,Logan County,H1
OK,40,85,Love County,H1
OK,40,87,McClain County,H1
OK,40,89,McCurtain County,H1
OK,40,91,McIntosh County,H1
OK,40,93,Major County,H1
OK,40,95,Marshall County,H1
OK,40,97,Mayes County,H1
OK,40,99,Murray County,H1
OK,40,101,Muskogee County,H1
OK,40,103,Noble County,H1
OK,40,105,Nowata County,H1
OK,40,107,Okfuskee County,H1
OK,40,109,Oklahoma County,H1
OK,40,111,Okmulgee County,H1
OK,40,113,Osage County,H1
OK,40,115,Ottawa County,H1
OK,40,117,Pawnee County,H1
OK,40,119,Payne County,H1
OK,40,121,Pittsburg County,H1
OK,40,123,Pontotoc County,H1
OK,40,125,Pottawatomie County,H1
OK,40,127,Pushmataha County,H1
OK,40,129,Roger Mills County,H1
OK,40,131,Rogers County,H1
OK,40,133,Seminole County,H1
OK,40,135,Sequoyah County,H1
OK,40,137,Stephens County,H1
OK,40,139,Texas County,H1
OK,40,141,Tillman County,H1
OK,40,143,Tulsa County,H1
OK,40,145,Wagoner County,H1
OK,40,147,Washington County,H1
OK,40,149,Washita County,H1
OK,40,151,Woods County,H1
OK,40,153,Woodward County,H1
