State,state_FIPS,county_FIPS,County,classfp
OR,41,1,Baker County,H1
OR,41,3,Benton County,H1
OR,41,5,Clackamas County,H1
OR,41,7,Clatsop County,H1
OR,41,9,Columbia County,H1
OR,41,11,Coos County,H1
OR,41,13,Crook County,H1
OR,41,15,Curry County,H1
OR,41,17,Deschutes County,H1
OR,41,19,Douglas County,H1
OR,41,21,Gilliam County,H1
OR,41,23,Grant County,H1
OR,41,25,Harney County,H1
OR,41,27,Hood River County,H1
OR,41,29,Jackson County,H1
OR,41,31,Jefferson County,H1
OR,41,33,Josephine County,H1
OR,41,35,Klamath County,H1
OR,41,37,Lake County,H1
OR,41,39,Lane County,H1
OR,41,41,Lincoln County,H1
OR,41,43,Linn County,H1
OR,41,45,Malheur County,H1
OR,41,47,Marion County,H1
OR,41,49,Morrow County,H1
OR,41,51,Multnomah County,H1
OR,41,53,Polk County,H1
OR,41,55,Sherman County,H1
OR,41,57,Tillamook County,H1
OR,41,59,Umatilla County,H1
OR,41,61,Union County,H1
OR,41,63,Wallowa County,H1
OR,41,65,Wasco County,H1
OR,41,67,Washington County,H1
OR,41,69,Wheeler County,H1
OR,41,71,Yamhill County,H1
